,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
10,11110-2018-00120,,서울공인중개사사무소,서울특별시 종로구 종로 260 1층 (종로6가),염경애,02-2285-2200,2018.12.24,3,,,공인중개사,유,-
11,11110-2018-00086,,성일사부동산공인중개사사무소,"서울특별시 종로구 종로 266 디동 213호 (종로6가,동대문종합시장)",홍우승,02-2273-0388,2018.08.08,3,,,공인중개사,유,-
12,92200000-2360,,스카이공인중개사사무소,서울특별시 종로구 종로 266 동대문종합시장 D동 301-다호(종로6가),채윤식,02-2273-1665,2010.05.20,3,,,공인중개사,유,-
13,92200000-2379,,신원공인중개사사무소,서울특별시 종로구 종로 266 동대문종합시장 B동4022호(종로6가),신경민,010-9382-8054,2010.08.04,3,,,공인중개사,유,-
14,나92200000-51,,신흥사부동산중개인사무소,서울특별시 종로구 종로 266 동대문종합시장 디동 205호 (종로6가),강정식,02-2273-2322,1984.06.01,3,,,중개인,유,-
15,11110-2017-00142,,에이스현대공인중개사사무소,"서울특별시 종로구 종로 266 디동 지하29호 (종로6가, 동대문종합시장)",오인수,02-2274-6282,2017.12.18,3,,,공인중개사,유,-
16,11110-2017-00011,,연지공인중개사사무소,서울특별시 종로구 종로 266 동대문종합시장 D동 301-가호,복형규,02-2279-7300,2017.01.12,3,,,공인중개사,유,-
17,11110-2019-00005,,우리사공인중개사사무소,서울특별시 종로구 종로 266 디동 2242호(자체호수: 2242호)(종로6가),황성현,02-2273-7789,2019.01.10,3,,,공인중개사,유,-
18,92200000-2688,,우신공인중개사사무소,서울특별시 종로구 종로 266 동대문종합시장 디동 2241호(현장호수 2789호),이창우,02-2275-4989,2013.12.10,3,,,공인중개사,유,-
19,가92200000-117,,원창공인중개사사무소,서울특별시 종로구 종로 266 동대문종합시장 D동 3159호 (종로6가),김원겸,02-2275-6695,1988.04.18,3,,,중개인,유,-
20,92200000-2133,,월드공인중개사사무소,서울특별시 종로구 종로 266 동대문종합시장 에이동 4층 4201호(현장호수),최윤하,-,2008.10.24,3,,,공인중개사,유,-
21,92200000-1582,,유진공인중개사사무소,서울특별시 종로구 종로 266 동대문종합시장 C동 2153-1호,조용묵,2285-4585,2005.04.22,3,,,공인중개사,유,-
22,11110-2017-00146,,이화에이스공인중개사사무소,"서울특별시 종로구 종로 266 D동 2791호(종로6가, 동대문종합시장) ",김현진,-,2017.12.26,1,,,,,
23,92200000-2636,,장춘공인중개사사무소,서울특별시 종로구 종로39길 18 (종로6가),최이영,02-766-2277,2013.01.11,3,,,공인중개사,유,-
24,92200000-1827,,제일공인중개사사무소,서울특별시 종로구 종로 266 동대문종합시장B동 1150호<1449호>(종로6가),김태헌,2277-3080,2006.05.19,3,,,공인중개사,유,-
25,92200000-2025,,종합부동산공인중개사사무소,서울특별시 종로구 종로 266 동대문종합시장 제D동 204호 (종로6가),전해권,-,2008.02.15,3,,,공인중개사,유,-
26,가92200000-110,,지산부동산중개인사무소,서울특별시 종로구 종로 266 동대문종합시장 디동 2193호(점포호수 2743호)(종로6가),김덕영,"2273-5777,2267-7222",1989.04.20,3,,,중개인,유,-
27,92200000-2087,,진성공인중개사사무소,서울특별시 종로구 종로 266 동대문종합시장 C동 2층 2158-2호(현장호수)(종로6가),남희정,2279-5027,2008.06.11,3,,,공인중개사,유,-
28,11110-2018-00043,,천지인공인중개사사무소,서울특별시 종로구 종로41길 48 (종로6가),차걸,-,2018.04.24,3,,,공인중개사,유,-
29,가92200000-107,,청운부동산중개인사무소,서울특별시 종로구 율곡로29길 10 (종로6가),김원주,762-4172,1985.06.11,3,,,중개인,유,-
30,11110-2018-00032,,최용길공인중개사사무소,서울특별시 종로구 종로40길 4 덕성빌딩 227호 (종로6가),최용길,02-2264-5055,2018.03.12,3,,,공인중개사,유,-
31,92200000-1290,,플러스공인중개사사무소,서울특별시 종로구 종로 266 동대문종합시장 C동 4층 61호,전활덕,2264-8959,2002.07.23,3,,,공인중개사,유,-
32,92200000-2745,,행운공인중개사사무소,"서울특별시 종로구 종로 258 47,48호 (종로6가, 덕성빌딩)",배근식,02-712-6090,2014.06.11,3,,,공인중개사,유,-
33,11110-2019-00015,,현대공인중개사사무소,"서울특별시 종로구 종로 266 비동 1,2층 1호(특3호)(종로6가, 동대문종합시장)",오문택,-,2017.09.29,3,,,공인중개사,유,-
