,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,11110-2018-00114,,A.Re공인중개사사무소,"서울특별시 종로구 종로39길 51 103호(효제동,광동빌딩)",석나래,-,2018.12.03,3,,,공인중개사,유,-
1,92200000-1343,,나래공인중개사사무소,서울특별시 종로구 종로39길 51 (효제동),석종남,3672-4989,2003.01.07,3,,,공인중개사,유,-
2,92200000-1013,,라인공인중개사사무소,서울특별시 종로구 대학로 4-1,김재형,02-745-3189 02-766-2577 02-434-0500 02-745-2711 02-766-8945 02-2278-8262 02-742-2279 02-742-3307,1999.10.11,3,,,공인중개사,유,-
3,11110-2015-00042,,마로니에공인중개사사무소,서울특별시 종로구 창경궁로16길 70 609호 (효제동),윤승일,010-8520-1999,2015.06.18,3,,,공인중개사,유,-
4,11110-2018-00053,,신세계공인중개사사무소,서울특별시 종로구 대학로 7 (효제동),박상문,02-745-8289,2018.05.21,3,,,공인중개사,유,-
5,92200000-2717,,엔알파트너스공인중개사사무소,서울특별시 종로구 종로35길 28 4층 (효제동),강정훈,02-738-2722,2014.02.21,3,,,공인중개사,유,-
6,11110-2018-00116,,제일공인중개사사무소,서울특별시 종로구 대학로 20 201호(효제동),이양균,02-743-5566,2017.11.27,3,,,공인중개사,유,-
7,11110-2016-00116,,종로공인중개사사무소,서울특별시 종로구 대학로 16 (효제동),최서인,744-4100,2016.12.14,3,,,공인중개사,유,-
8,11110-2019-00020,,종로광장부동산공인중개사사무소,서울특별시 종로구 대학로 4-1 2층 201호 (효제동),김대용,02-745-3300,2019.02.26,3,,,공인중개사,유,-
9,11110-2018-00104,,타워부동산중개,서울특별시 종로구 종로35길 11 102호 (효제동),김양배,010-3559-1604,2018.10.15,3,,,공인중개사,유,-
10,11110-2018-00122,,평화공인중개사사무소,서울특별시 종로구 김상옥로 58 1층 101호(효제동),김소라,02-764-2144,2018.12.24,3,,,공인중개사,유,-
11,11110-2017-00017,,포레스트공인중개사사무소,서울특별시 종로구 대학로 33 포레스트힐시티 1층 102-2호(효제동),박영희,02-765-4999,2017.02.08,3,,,공인중개사,유,-
12,11110-2018-00061,,효제공인중개사사무소,서울특별시 종로구 김상옥로 51,정덕근,-,2017.06.07,3,,,공인중개사,유,-
