,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,11110-2019-00029,,가온공인중개사사무소,서울특별시 종로구 종로 115 10층 (종로3가),김희정,-,2019.01.18,3,,,공인중개사,유,-
1,나92200000-47,,대우부동산중개인사무소,서울특별시 종로구 종로 146-2 (종로3가),김영준,2275-4600,1984.06.01,3,,,중개인,유,-
2,가92200000-86,,대웅부동산중개인사무소,서울특별시 종로구 종로 134 (종로3가),오홍규,2275-8700,1988.04.20,3,,,중개인,유,-
3,92380000-4802,,신진부동산공인중개사사무소,서울특별시 종로구 종로 121-2 202호(종로3가),진광식,02-711-9949,2013.03.19,3,,,공인중개사,유,-
4,92200000-2227,,영남공인중개사사무소,서울특별시 종로구 돈화문로 23 (종로3가),박중상,745-3131,2009.05.11,3,,,공인중개사,유,-
5,11110-2018-00019,,우리공인중개사사무소,서울특별시 종로구 종로 138-1 화암빌딩 303호 (종로3가),김시용,010-8677-3533 / 02-6273-0250 ~ 0269,2018.02.14,3,,,공인중개사,유,-
6,11110-2017-00074,,종로건양부동산중개,서울특별시 종로구 종로 145-1 (종로3가),이남수,02-763-5989,2017.05.12,3,,,공인중개사,유,-
7,92200000-1946,,종로랜드공인중개사사무소,서울특별시 종로구 종로 127-2 (종로3가),유재은,02-741-4774,2007.09.12,3,,,공인중개사,유,-
8,라4402-16,,종로부동산중개(주),서울특별시 종로구 종로 113 4층 (종로3가),김석현,"02-730-1118,02-6417-9051~9075,02-6417-9041~905002-6417-908002-753-5300",2008.06.12,3,,,법인,유,-
9,92200000-2722,,종로상가부동산중개,서울특별시 종로구 종로 150-1 (종로3가),최문규,-,2014.02.07,3,,,공인중개사,유,-
10,11110-2018-00071,,주식회사웰컴컨설팅부동산중개,서울특별시 종로구 종로 115 10층 (종로3가),박운하,-,2018.06.29,3,,,법인,유,-
11,11110-2018-00047,,퍼스트공인중개사사무소,서울특별시 종로구 종로 127-2 5층 (종로3가),김지애,02-742-1184 02-742-118502-742-1128,2018.05.09,3,,,공인중개사,유,-
