,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,11110-2019-00023,,경희궁The잘나가는공인중개사사무소,서울특별시 종로구 경교장길 35 3111호 (평동),허윤정,02-739-5757,2019.03.07,3,,,공인중개사,유,-
1,11110-2018-00042,,경희궁다주공인중개사사무소,"서울특별시 종로구 경교장길 35 3122호 (평동, 경희궁자이팰리스에비뉴3단지)",주영숙,010-8755-0822,2018.04.18,3,,,공인중개사,유,-
2,11110-2018-00001,,경희궁명가공인중개사사무소,"서울특별시 종로구 경교장길 35 3130호 (평동,경희궁자이팰리스에비뉴3단지)",주수진,02-732-7772,2018.01.02,3,,,공인중개사,유,-
3,11110-2017-00036,,경희궁자이공인중개사사무소,서울특별시 종로구 경교장길 35 경희궁자이 3단지 3104호 (평동),황영주,02-722-3500,2017.03.02,3,,,공인중개사,유,-
4,11110-2017-00038,,경희궁자이베스트공인중개사사무소,"서울특별시 종로구 경교장길 35 3105호 (교남동, 경희궁자이 팰리스에비뉴 3단지)",국민호,02-737-8008,2017.02.28,3,,,공인중개사,유,-
5,11110-2017-00118,,궁공인중개사사무소,서울특별시 종로구 경교장길 35 경희궁자이3단지 3131호 (평동),박경희,02-312-3700,2017.09.15,3,,,공인중개사,유,-
6,나92200000-24,,목란부동산중개인사무소,서울특별시 종로구 경교장길 35 3135호 (평동),이진형,737-5320,1984.06.01,3,,,중개인,유,-
7,11110-2018-00087,,자이골드공인중개사사무소,서울특별시 종로구 경교장길 35 3135호 (평동),최홍영,02-722-1114,2018.08.17,3,,,공인중개사,유,-
8,11110-2015-00043,,자이좋은집공인중개사사무소,"서울특별시 종로구 경교장길 35 3102호 (평동, 경희궁자이 팰리스에비뉴 3단지)",김태우,02-722-5530,2015.07.03,3,,,공인중개사,유,-
9,92200000-2596,,행복드림공인중개사사무소,"서울특별시 종로구 경교장길 35 팰리스에비뉴 상가 3110호(평동, 경희궁자이 3단지)",신해일,738-8990,2012.06.29,3,,,공인중개사,유,-
