,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,나92200000-79,,광지사부동산중개사무소,서울특별시 종로구 종로 329-2,이창열,763-5381,1984.06.14,3,,,중개인,유,-
1,가92200000-180,,남동부동산중개사무소,서울특별시 종로구 지봉로5길 24-1 (창신동),서기례,02-744-1144,1984.06.14,3,,,중개인,유,-
2,92200000-2737,,대성공인중개사사무소,"서울특별시 종로구 낙산길 198 상가 208동 3층 8호(창신동, 쌍용아파트)",양정현,744-3344,2014.05.12,3,,,공인중개사,유,-
3,11110-2017-00053,,대성부동산공인중개사사무소,"서울특별시 종로구 청계천로 295 가동 제지하1호 (창신동, 동대문신발상가)",최승규,02-2233-6695,2008.10.22,3,,,공인중개사,유,-
4,11110-2018-00083,,대화공인중개사사무소,서울특별시 종로구 종로 329-2 (창신동),최명철,6285-3535,2017.11.17,3,,,공인중개사,유,-
5,92200000-2072,,대흥부동산공인중개사사무소,서울특별시 종로구 지봉로 41 (창신동),정순중,02-766-9656,2008.05.23,3,,,공인중개사,유,-
6,11110-2017-00111,,동대문공인중개사사무소,서울특별시 종로구 동망산길 17 (창신동),홍순재,743-7171,2017.09.08,3,,,공인중개사,유,-
7,92200000-1289,,동대문공인중개사사무소,서울특별시 종로구 종로50길 2 (창신동),장재영,02-741-6114,2002.07.23,3,,,공인중개사,유,-
8,92200000-1753,,동대문공인중개사사무소,서울특별시 종로구 창신동 436-79 가동 2층 239호(청계로289),김택수,02-741-9400,2006.05.12,3,,,공인중개사,유,-
9,나92200000-56,,동대문뉴타운부동산 중개인사무소,서울특별시 종로구 종로 322 (창신동),이대영,2269-3334,1984.06.01,3,,,중개인,유,-
10,92200000-2656,,동신공인중개사사무소,서울특별시 종로구 종로 289 (창신동),송경호,02-766-9111,2013.06.04,3,,,공인중개사,유,-
11,11110-2015-00075,,동아공인중개사사무소,서울특별시 종로구 종로 297-2,문정희,02-743-944302-743-9444,2015.10.23,3,,,공인중개사,유,-
12,92200000-2579,,동현공인중개사사무소,서울특별시 종로구 지봉로 55 (창신동),김선숙,02-764-0600,2012.04.04,3,,,공인중개사,유,-
13,11110-2015-00093,,동화공인중개사사무소,서울특별시 종로구 지봉로 65-2 1층,백두진,010-4601-4628,2015.12.29,3,,,공인중개사,유,-
14,11110-2015-00028,,두산부동산공인중개사사무소,"서울특별시 종로구 지봉로5길 7 상가동 1층 제 113호(창신동, 두산아파트)",김경화,02-742-1700,2015.04.06,3,,,공인중개사,유,-
15,92200000-1253,,롯데공인중개사사무소,서울특별시 종로구 종로 327 (창신동),오현진,745-7012/744-0017,2002.03.06,3,,,공인중개사,유,-
16,가92200000-160,,명신부동산중개인사무소,서울특별시 종로구 지봉로 105 (창신동),강명율,763-5712,1984.07.26,3,,,중개인,유,-
17,92200000-1631,,명인공인중개사사무소,서울특별시 종로구 창신길 87 (창신동),송명섭,02-765-4894,2005.08.08,3,,,공인중개사,유,-
18,가922200000-00960,,모아부동산중개인사무소,서울특별시 종로구 창신5길 24-1 (창신동),이삼민,763-8844,2010.03.05,3,,,중개인,유,-
19,92200000-2178,,미래공인중개사사무소,서울특별시 종로구 지봉로5길 5 레스빌 1층 (창신동),이신옥,02-765-4900,2009.02.02,3,,,공인중개사,유,-
20,92200000-0959,,미조공인중개사사무소,서울특별시 종로구 창신길 50 (창신동),심금정,02-763-4818,1999.03.16,3,,,공인중개사,유,-
21,92200000-2566,,박사공인중개사사무소,서울특별시 종로구 창신길 11 (창신동),정문일,02-3672-8800,2012.03.05,3,,,공인중개사,유,-
22,11110-2017-00023,,법무사공인중개사사무소,서울특별시 종로구 지봉로 19 2층 B10호 (창신동) ,김선우,-,2017.02.21,1,2019.02.23,2019.08.22,,,
23,92200000-2384,,보경공인중개사사무소,서울특별시 종로구 지봉로11길 2 (창신동),조관제,745-5060,2010.08.19,3,,,공인중개사,유,-
24,92200000-2079,,보보스공인중개사사무소,서울특별시 종로구 종로51나길 3 (창신동),이용빈,766-3311,2008.06.02,3,,,공인중개사,유,-
25,92200000-2065,,복지부동산중개인사무소,서울특별시 종로구 종로51길 15 (창신동),권오윤,763-5161,1984.06.01,3,,,중개인,유,-
26,92200000-1898,,부흥사공인중개사사무소,서울특별시 종로구 창신길 68 (창신동),장중섭,3672-5900,2007.04.30,3,,,공인중개사,유,-
27,11110-2017-00138,,빅스프라퍼티공인중개사사무소,서울특별시 종로구 종로 322-10 지하1층 (창신동),김영범,02-6490-8677,2017.12.12,3,,,공인중개사,유,-
28,공92200000-0937,,삼일공인중개사사무소,서울특별시 종로구 청계천로 345 31지구 1동 2층 (창신동),함성대,02-2234-9007,2001.11.05,3,,,공인중개사,유,-
29,나92200000-93,,삼일사부동산중개인사무소,서울특별시 종로구 창신6가길 42 (창신동),김영일,763-7634,1984.06.01,3,,,중개인,유,-
30,나92200000-80,,삼화사중개인사무소,서울특별시 종로구 종로51길 18 (창신동),김득천,762-8084,1984.06.14,3,,,중개인,유,-
31,11110-2015-00008,,색연필공인중개사사무소,서울특별시 종로구 지봉로 81 브라운스톤 창신 109호,김종제,745-1003,2015.01.30,3,,,공인중개사,유,-
32,11110-2016-00079,,서울공인중개사사무소,서울특별시 종로구 지봉로 19 A10호 (창신동),신근영,02-2161-8606,2016.09.01,3,,,공인중개사,유,-
33,92200000-2648,,성보부동산공인중개사사무소,서울특별시 종로구 지봉로 97-2 1층,박원영,-,2013.04.08,3,,,공인중개사,유,-
34,92200000-2599,,숭인공인중개사사무소,서울특별시 종로구 동망산길 3 (창신동),김성호,02-3675-4989,2012.07.06,3,,,공인중개사,유,-
35,가92200115-957,,신라부동산중개인사무소,서울특별시 종로구 동망산길 5,주길호,765-3800,1989.04.20,3,,,중개인,유,-
36,11110-2016-00062,,신원공인중개사사무소,서울특별시 종로구 지봉로 37 (창신동),조익환,02-763-5544,2016.07.11,3,,,공인중개사,유,-
37,92200000-0630,,아세아공인중개사사무소,서울특별시 종로구 낙산길 196 창신쌍용아파트 208동 상가307호,장석훈,02-747-0354,1995.03.09,3,,,공인중개사,유,-
38,92200000-2317,,에이스공인중개사사무소,서울특별시 종로구 창신길 39 1층,신경남,762-5845,2010.02.19,3,,,공인중개사,유,-
39,11110-2017-00129,,우리공인중개사사무소,서울특별시 종로구 종로54길 3,이원갑,"010-5828-0445,02-744-8070",2017.11.08,3,,,공인중개사,유,-
40,92200000-2546,,원투공인중개사사무소,서울특별시 종로구 동망산길 15 (창신동),최진아,02-763-3900,2011.12.30,3,,,공인중개사,유,-
41,11110-2019-00024,,월드부동산공인중개사사무소,서울특별시 종로구 지봉로 11 (창신동),최호룡,-,2019.03.11,3,,,공인중개사,유,-
42,92200000-2704,,이수부동산공인중개사사무소,서울특별시 종로구 지봉로 89 (창신동),이순옥,02-742-0061,2014.01.10,3,,,공인중개사,유,-
43,92200000-1716,,제일부동산공인중개사사무소,서울특별시 종로구 동망산길 5 (창신동),황성배,02-741-2455,2006.02.24,3,,,공인중개사,유,-
44,나92200000-83,,제일부동산중개인사무소,서울특별시 종로구 창신길 29 (창신동),문행진,742-7832,1984.06.01,3,,,중개인,유,-
45,92200000-2470,,조은공인중개사사무소,서울특별시 종로구 청계천로 295 가동 201호(창신동),조유진,02-762-4008,2011.04.22,3,,,공인중개사,유,-
46,92200000-2204,,종로부동산공인중개사사무소,서울특별시 종로구 종로 333 (창신동),김상식,747-0555,2009.04.01,3,,,공인중개사,유,-
47,92200000-1669,,창공인중개사사무소,서울특별시 종로구 창신길 60 (창신동),김길옥,766-7668,2005.10.21,3,,,공인중개사,유,-
48,92200000-2607,,창신공인중개사사무소,서울특별시 종로구 지봉로 105-1 (창신동),정성수,02-762-7400,2012.08.14,3,,,공인중개사,유,-
49,가92200000-141,,창일부동산중개인사무소,서울특별시 종로구 종로50라길 49 (창신동),김순영,764-4984,1988.10.20,3,,,중개인,유,-
50,11110-2015-00048,,충남공인중개사사무소,서울특별시 종로구 지봉로5길 7 상가동 105호 두산아파트,이승협,-,2015.07.17,3,,,공인중개사,유,-
51,11110-2018-00068,,파크공인중개사사무소,서울특별시 종로구 낙산5길 70 1층 101호 (창신동),박성예,010-7105-2089,2018.06.27,3,,,공인중개사,유,-
52,11110-2018-00013,,팔도강산동묘역공인중개사사무소,서울특별시 종로구 종로 337 2층 (창신동),김미경,02-766-2300,2018.01.30,3,,,공인중개사,유,-
53,11110-2018-00121,,평화공인중개사사무소,서울특별시 종로구 청계천로 295 가동 207호(창신동),이재휴,02-743-2555,2012.06.12,3,,,공인중개사,유,-
54,92200000-1585,,하나부동산공인중개사사무소,서울특별시 종로구 지봉로 103-1 (창신동),김판영,764-1006,2005.04.26,3,,,공인중개사,유,-
55,11110-2016-00012,,학사공인중개사사무소,서울특별시 종로구 청계천로 307 나동 나열 1층 1호,이재상,02-764-7777,2016.01.22,3,,,공인중개사,유,-
56,92200000-2003,,한일공인중개사사무소,서울특별시 종로구 종로46길 1 2층 (창신동),이웅기,02-765-2189,2008.01.09,3,,,공인중개사,유,-
57,11110-2017-00086,,현대공인중개사사무소,서울특별시 종로구 청계천로 331 1층(창신동),송영미,02-742-8982,2015.02.13,3,,,공인중개사,유,-
58,11110-2018-00103,,현대부동산공인중개사사무소,서울특별시 종로구 창신길 10 1층 2호(창신동),박승철,-,2018.10.10,3,,,공인중개사,유,-
59,가92200000-155,,화성부동산중개인사무소,서울특별시 종로구 창신길 41 (창신동),신유범,763-5293,1989.01.14,3,,,중개인,유,-
