,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,92200000-1638,,21세기 공인중개사사무소,서울특별시 종로구 평창30길 27 (평창동),박제현,395-0167,2005.08.30,3,,,공인중개사,유,-
1,92200000-1362,,OK부동산공인중개사사무소,서울특별시 종로구 평창문화로 93 (평창동),손중호,02-395-1533,2003.02.21,3,,,공인중개사,유,-
2,92200000-2174,,계림부동산공인중개사사무소,서울특별시 종로구 평창11길 17 (평창동),오영자,02-394-2800,2009.01.16,3,,,공인중개사,유,-
3,11110-2015-00024,,광림공인중개사사무소,서울특별시 종로구 평창길 11 지1층,백동국,379-3758,2015.03.23,3,,,공인중개사,유,-
4,92200000-2631,,굿모닝공인중개사사무소,서울특별시 종로구 평창문화로 152 (평창동),박창규,010-4377-4945391-4448,2012.12.18,3,,,공인중개사,유,-
5,11110-2017-00028,,귀빈공인중개사사무소,서울특별시 종로구 평창문화로 130,김상태,396-1300,2017.02.24,3,,,공인중개사,유,-
6,11110-2018-00017,,귀빈부동산공인중개사사무소,서울특별시 종로구 평창문화로 130,최은희,010-8003-5500,2018.02.07,3,,,공인중개사,유,-
7,가92200000-28,,대형부동산중개인사무소,서울특별시 종로구 평창문화로 33 (평창동),박대형,379-9900,1985.10.07,3,,,중개인,유,-
8,11110-2017-00145,,드림공인중개사사무소,서울특별시 종로구 평창문화로 52,강병희,-,2017.12.26,3,,,공인중개사,유,-
9,나92200000-14,,로컬스부동산중개,서울특별시 종로구 평창11길 8 105호(평창동),김갑태,379-7756,1994.06.24,3,,,중개인,유,-
10,92200000-2462,,롯데공인중개사사무소,서울특별시 종로구 평창문화로 154 (평창동),심상운,02-395-7300,2011.04.07,3,,,공인중개사,유,-
11,92240000-900,,명공인중개사사무소,서울특별시 종로구 평창길 345 (평창동),김홍석,394-9600,2005.07.08,3,,,공인중개사,유,-
12,11110-2018-00085,,서울공인중개사사무소,서울특별시 종로구 평창길 3 (평창동),조경석,02-354-8986,2014.10.15,3,,,공인중개사,유,-
13,11110-2015-00041,,신도공인중개사사무소,서울특별시 종로구 평창문화로 47 1층일부,허경준,02-394-0089,2015.06.03,3,,,공인중개사,유,-
14,92200000-2306,,에이스공인중개사사무소,서울특별시 종로구 평창길 8 (평창동),기종익,02-379-2600,2010.01.14,3,,,공인중개사,유,-
15,92200000-2272,,우신공인중개사사무소,서울특별시 종로구 평창문화로 56 (평창동),현금자,379-4983,2009.09.16,3,,,공인중개사,유,-
16,11110-2017-00032,,장하마을공인중개사사무소,서울특별시 종로구 평창11길 6 지층2호 (평창동),하종학,-,2017.02.28,3,,,공인중개사,유,-
17,92200000-2657,,제일부동산중개,서울특별시 종로구 평창11길 8 105호 (평창동),백태현,02-379-3806,2013.06.13,3,,,공인중개사,유,-
18,92200000-2446,,중앙부동산공인중개사사무소,서울특별시 종로구 평창문화로 94 (평창동),이문웅,02-379-0047,2011.02.17,3,,,공인중개사,유,-
19,92200000-1775,,태영공인중개사사무소,서울특별시 종로구 평창30길 31 (평창동),성기찬,395-0027,2006.06.21,3,,,공인중개사,유,-
20,11110-2018-00012,,평창부동산중개,서울특별시 종로구 평창문화로 43-1 1층 (평창동),김정운,-,2018.01.26,3,,,공인중개사,유,-
21,11110-2016-00071,,하나공인중개사사무소,서울특별시 종로구 평창길 3 (평창동),조우석,02-395-8988,2011.11.29,3,,,공인중개사,유,-
22,92200000-1774,,협신공인중개사사무소,서울특별시 종로구 평창문화로 96-1 (평창동),송해명,379-1940,2006.06.21,3,,,공인중개사,유,-
