,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,92200000-2686,,SK부동산공인중개사사무소,서울특별시 종로구 성균관로 8-1 (명륜2가),강준호,02-765-9999,2013.12.09,3,,,공인중개사,유,-
1,11110-2019-00022,,글로벌공인중개사사무소,서울특별시 종로구 성균관로 13 1층 (명륜2가),박준영,02-744-7777,2019.03.04,3,,,공인중개사,유,-
2,11110-2016-00011,,대학로월드공인중개사사무소,서울특별시 종로구 창경궁로 244 1층,최광섭,"02-741-8001, 010-2818-9080,010-5278-8201",2016.01.15,3,,,공인중개사,유,-
3,11110-2017-00004,,락공인중개사사무소,서울특별시 종로구 성균관로 28,오현,02-744-7999,2017.01.04,3,,,공인중개사,유,-
4,나92200000-74,,명륜부동산중개인사무소,서울특별시 종로구 성균관로 14 (명륜2가),이희만,742-0815,1984.06.14,3,,,중개인,유,-
5,가92200000-128,,바울사부동산중개인사무소,서울특별시 종로구 성균관로 24-2 (명륜2가),임일모,763-6920,1984.10.11,3,,,중개인,유,-
6,92200000-1942,,부동산114 공인중개사사무소,"서울특별시 종로구 혜화로3길 19 1층 5호(명륜2가, 아남아파트 상가동 )",이동춘,747-1144,2007.09.04,3,,,공인중개사,유,-
7,92200000-2785,,부동산타운공인중개사사무소,서울특별시 종로구 성균관로 21 (혜화동),김선덕,02-3675-5555,2014.12.10,3,,,공인중개사,유,-
8,92200000-1962,,서울부동산공인중개사사무소,서울특별시 종로구 창경궁로 261 (명륜2가),김연수,3673-4477,2006.06.09,3,,,공인중개사,유,-
9,92200000-2790,,성균부동산공인중개사사무소,서울특별시 종로구 성균관로 22 (명륜2가),이병석,02-3676-0222,2014.12.31,3,,,공인중개사,유,-
10,92200000-2755,,스마일공인중개사사무소,서울특별시 종로구 성균관로 7-1 1층(명륜2가),강대흥,010-4746-3703,2014.07.16,3,,,공인중개사,유,-
11,11110-2019-00016,,중앙공인중개사사무소,서울특별시 종로구 성균관로 28-1 (명륜2가),유정록,02-745-5400,2019.02.20,3,,,공인중개사,유,-
12,92200000-2176,,코끼리공인중개사사무소,서울특별시 종로구 성균관로 3 (명륜2가),김영삼,02-766-6606,2009.01.22,3,,,공인중개사,유,-
13,11110-2017-00144,,하나부동산공인중개사사무소,서울특별시 종로구 성균관로 15-1 1층 (명륜2가),김양수,02-763-9200,2017.02.09,3,,,공인중개사,유,-
14,11110-2017-00064,,한솔부동산공인중개사사무소,서울특별시 종로구 성균관로 9 (혜화동),홍수정,-,2017.04.03,3,,,공인중개사,유,-
15,92200000-1702,,혜화공인중개사사무소,"서울특별시 종로구 혜화로3길 19 106호(명륜2가, 아남아파트 상가)",이건호,02-765-4888,2006.01.10,3,,,공인중개사,유,-
16,11110-2018-00098,,화목공인중개사사무소,서울특별시 종로구 성균관로 9-1,권오선,02-762-5550 / 010-3088-3566,2018.05.02,3,,,공인중개사,유,-
