,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,11140-2016-00082,,OK공인중개사사무소,서울특별시 중구 다산로40길 38 1층(신당동),이미옥,02-2236-9600,2016.10.24,3,,,공인중개사,유,-
1,41290-2018-00031-001,,(주)대신부동산중개법인,"서울특별시 중구 청계천로 334 1층 가30-1호(신당동, 청평화시장)",윤현숙,-,2018.11.29,3,,,법인,유,-
2,공92220000-1629,,21세기공인중개사사무소,서울특별시 중구 다산로36길 93,김형광,02-2231-2255,2007.04.13,3,,,공인중개사,유,-
3,가92220000-288,,21세기부동산중개인사무소,서울특별시 중구 동호로 167,류두열,02-2252-5100,1985.01.10,3,,,중개인,유,-
4,11140-2016-00013,,24시코리아공인중개사사무소,서울특별시 중구 다산로44길 29 1층,김영애,02-2233-3888,2016.01.21,3,,,공인중개사,유,-
5,11140-2017-00063,http://www.nsdi.go.kr/lxportal/zcms/nsdi/land/klisapiBrokerPhoto.html?sggCd=11140&photoNo=73494,RICS영국부동산중개,"서울특별시 중구 동호로10길 30 상가동 602호(신당동,약수하이츠)",김성일,02-2256-9991,2017.07.24,3,,,공인중개사,유,-
6,가1314-733,,SK공인중개사사무소,서울특별시 중구 다산로 32 남산타운 스포츠센타 비02호,지남준,02-2256-7711,2011.04.07,3,,,공인중개사,유,-
7,11140-2019-00014,,TY 공인중개사사무소,서울특별시 중구 청구로 63-1 1층(신당동),온지원,02-2231-9818,2019.02.22,3,,,공인중개사,유,-
8,공92220000-2306,,e-편한공인중개사사무소,서울특별시 중구 다산로36길 79 1층,홍미정,-,2014.04.15,3,,,공인중개사,유,-
9,공92220000-1925,,강남공인중개사사무소,서울특별시 중구 동호로12길 93 1층,이득연,02-2256-8900,2010.02.05,3,,,공인중개사,유,-
10,공9222000-1498,,고려공인중개사사무소,서울특별시 중구 청구로1길 23,홍승재,02-2233-4004,2006.02.20,3,,,공인중개사,유,-
11,공92220000-1160,,골드공인중개사사무소,서울특별시 중구 다산로36길 95,강태용,02-2233-3355,2003.06.23,3,,,공인중개사,유,-
12,공92220000-2130,,골드공인중개사사무소,서울특별시 중구 다산로 58-1,이은희,-,2012.01.18,3,,,공인중개사,유,-
13,11140-2017-00072,,광일공인중개사사무소,서울특별시 중구 청구로 107 1층103호(신당동),이유식,02-2231-9200,2017.08.28,3,,,공인중개사,유,-
14,공92220000-1456,,광희부동산공인중개사사무소,서울특별시 중구 마장로1길 21 광희시장 1층 45호,최용헌,02-2238-9259,2005.10.07,3,,,공인중개사,유,-
15,공92220000-993,,국제공인중개사사무소,서울특별시 중구 청구로17길 91 1층,구영주,02-2233-2525,2002.03.25,3,,,공인중개사,유,-
16,11140-2018-00088,,굿모닝공인중개사사무소,"서울특별시 중구 다산로 32 상가5동 125호(신당동, 남산타운)",임남희,02-2256-4000,2018.12.06,3,,,공인중개사,유,-
17,공92220000-1446,,굿모닝부동산공인중개사사무소,서울특별시 중구 퇴계로90길 43 (1층),김영순,02-2237-2345,2005.09.14,3,,,공인중개사,유,-
18,11140-2018-00089,,굿모닝힐스공인중개사사무소,"서울특별시 중구 다산로 32 상가5동 125호(신당동, 남산타운)",정승범,02-2256-4000,2018.12.06,3,,,공인중개사,유,-
19,11140-2018-00087,,궁전공인중개사사무소,서울특별시 중구 다산로22길 23 1층(신당동),김선수,02-2235-2829,2018.12.06,3,,,공인중개사,유,-
20,공92220000-2032,,그린부동산공인중개사사무소,서울특별시 중구 다산로36길 53 1층,김영운,02-2236-3400,2011.03.07,3,,,공인중개사,유,-
21,공92220000-1372,,금강부동산공인중개사사무소,서울특별시 중구 청계천로 334 청평화시장 1층라-3호,장길섭,-,2005.04.15,3,,,공인중개사,유,-
22,11140-2017-00071,,길부동산공인중개사사무소,서울특별시 중구 동호로8길 5 1층일부(신당동),정동호,-,2017.08.22,3,,,공인중개사,유,-
23,11140-2017-00074,,꿈꾸는공인중개사사무소,서울특별시 중구 다산로40길 14 2층(신당동),유태영,070-7758-7770,2017.08.29,3,,,공인중개사,유,-
24,11140-2015-00078,,꿈꾸는부동산공인중개사사무소,서울특별시 중구 다산로36길 81 1층,안미나,02-2234-5177,2015.10.01,3,,,공인중개사,유,-
25,11140-2018-00077,,남산공인중개사사무소,서울특별시 중구 다산로 32 남산타운 상가5동 130호(신당동),류득환,02-2252-6000,2018.11.01,3,,,공인중개사,유,-
26,공92220000-1818,,남평화사부동산공인중개사사무소,서울특별시 중구 마장로1길 25 수협은행 3층 305호,나귀옥,02-2252-0379,2009.01.12,3,,,공인중개사,유,-
27,11140-2016-00055,,노아공인중개사사무소,서울특별시 중구 퇴계로73길 19 성도빌딩 1층,이지명,02-2236-0025,2016.06.21,3,,,공인중개사,유,-
28,공9222-2014,,녹원공인중개사사무소,서울특별시 중구 다산로8길 11,차능모,-,2010.12.30,3,,,공인중개사,유,-
29,11140-2017-00032,,뉴덕우공인중개사사무소,"서울특별시 중구 마장로 13 1층 185호(신당동,제일평화시장)",서혜림,02-2256-4423,2017.03.20,3,,,공인중개사,유,-
30,11110-2015-00022,,뉴서울부동산공인중개사사무소,서울특별시 중구 청계천로 298 1층 가15호(신당동),정경호,02-2236-6100,2015.03.18,3,,,공인중개사,유,-
31,공92220000-1849,,뉴타운제일공인중개사사무소,서울특별시 중구 동호로11길 19 1층,김상균,02-2234-5607,2009.04.27,3,,,공인중개사,유,-
32,11140-2017-00087,,다산공인중개사사무소,서울특별시 중구 퇴계로86길 47 1층일부(신당동),박완순,-,2017.10.25,3,,,공인중개사,유,-
33,11170-2017-00171,,다온공인중개사사무소,서울특별시 중구 다산로 181 102호(신당동),정기준,02-3298-9900,2017.09.07,3,,,공인중개사,유,-
34,11140-2019-00022,,다올공인중개사사무소,서울특별시 중구 다산로24길 18 1층,최문수,-,2019.03.22,3,,,공인중개사,유,-
35,공92220000-2149,,대광공인중개사사무소,서울특별시 중구 동호로11길 32-4,이상권,02-2238-9890,2012.04.12,3,,,공인중개사,유,-
36,11140-2019-00004,,대림부동산공인중개사사무소,"서울특별시 중구 청구로3길 81 , 1층(신당동)",이미란,-,2019.01.09,3,,,공인중개사,유,-
37,공92220000-1889,,대명공인중개사사무소,"서울특별시 중구 청계천로 334 2층 라-1(신당동, 청평화시장)",최은희,-,2009.09.09,3,,,공인중개사,유,-
38,11140-2019-00024,,대박부동산공인중개사사무소,서울특별시 중구 퇴계로73길 50 제2층 제242호,최선영,02-2254-4999,2019.04.02,3,,,공인중개사,유,-
39,공92220000-965,,대우공인중개사사무소,서울특별시 중구 다산로36길 110 단지내상가 105호,송교준,02-2236-5353,2002.01.16,3,,,공인중개사,유,-
