,regNo,photoUrl,officeName,address,officeRep,officePhone,dateStart,officeStatus,oSstartDate,oSendDate,officeType,insurance,memo
0,92200000-1994,,건국공인중개사사무소,서울특별시 종로구 사직로8길 34 경희궁의아침3단지 지상1층 176호,박소현,02-739-3344,2007.12.17,3,,,공인중개사,유,-
1,11110-2019-00018,,경희궁의아침부동산공인중개사사무소,서울특별시 종로구 사직로8길 24 경희궁의아침2단지 상가103호(내수동),최은영,02-738-8949,2019.02.22,3,,,공인중개사,유,-
2,92440000-1153,,광화문114공인중개사사무소,서울특별시 종로구 새문안로3길 36 용비어천가 오피스텔 상가 104호(내수동),이강선,02-730-7575,2004.02.16,3,,,공인중개사,유,-
3,11110-2019-00013,http://www.nsdi.go.kr/lxportal/zcms/nsdi/land/klisapiBrokerPhoto.html?sggCd=11110&photoNo=158075,광화문부동산멘토공인중개사사무소,"서울특별시 종로구 사직로8길 24 112호 (내수동, 경희궁의 아침2단지)",김환우,02-720-2707,2019.01.31,3,,,공인중개사,유,-
4,11110-2017-00107,,광화문에이스공인중개사사무소,"서울특별시 종로구 사직로8길 24 104호 (내수동, 경의궁의 아침 2단지)",박월진,02-736-7333,2008.09.29,3,,,공인중개사,유,-
5,92200000-1192,,굿모닝공인중개사사무소,서울특별시 종로구 사직로8길 42 (내수동),김영균,02-730-7366,2001.06.16,3,,,공인중개사,유,-
6,92200000-2164,,명성공인중개사사무소,서울특별시 종로구 사직로8길 34 (내수동),박경자,02-730-5300,2008.12.16,3,,,공인중개사,유,-
7,92200000-2339,http://www.nsdi.go.kr/lxportal/zcms/nsdi/land/klisapiBrokerPhoto.html?sggCd=11110&photoNo=5197,부동산멘토공인중개사사무소,서울특별시 종로구 사직로8길 24 경희궁의아침2단지 112호 (내수동),윤영숙,02-725-1127,2010.04.08,3,,,공인중개사,유,-
8,92200000-2305,,빌딩매매전문곰공인중개사사무소,"서울특별시 종로구 사직로8길 34 경희궁의아침3단지 131,132호(내수동)",정우섭,720-3288,2010.01.14,3,,,공인중개사,유,-
9,11110-2016-00089,,씨티공인중개사사무소,서울특별시 종로구 사직로8길 34 109호(내수동),남찬우,02-6263-3500,2016.09.30,3,,,공인중개사,유,-
10,11110-2019-00012,,아침공인중개사사무소,서울특별시 종로구 사직로8길 34 상가동 107호 (내수동),김미향,-,2019.01.30,3,,,공인중개사,유,-
11,11110-2015-00071,,알파공인중개사사무소,"서울특별시 종로구 사직로8길 24 1층 상가 112호 (내수동,경희궁의아침2단지)",백은경,-,2015.10.14,3,,,공인중개사,유,-
12,11110-2016-00092,,에이스부동산공인중개사사무소,서울특별시 종로구 사직로8길 24 2단지 상가104호 (내수동),이호민,02-736-7333,2016.10.05,3,,,공인중개사,유,-
13,11110-2017-00062,,열린공인중개사사무소,"서울특별시 종로구 사직로8길 34 상가 106호 (내수동, 경희궁의 아침 3단지)",김미정,02-720-4999,2017.03.30,3,,,공인중개사,유,-
14,11110-2017-00134,,유니콘mobile부동산중개,"서울특별시 종로구 새문안로3길 36 227호(내수동,용비어천가)",진영범,-,2017.11.22,3,,,공인중개사,유,-
15,11110-2016-00110,,이화부동산중개,서울특별시 종로구 사직로8길 34 경희궁의 아침 3단지 상가111호,이기영,02-722-0033,2016.11.22,3,,,공인중개사,유,-
16,92200000-2135,,조경재세무사공인중개사사무소,서울특별시 종로구 사직로8길 34 (내수동),조경재,723-0670,2005.09.13,3,,,공인중개사,유,-
17,11110-2015-00062,,주식회사경희랜드부동산중개,서울특별시 종로구 새문안로3길 23 상가107호,최재하,02-733-8544,2015.09.03,3,,,법인,유,-
18,92200000-1491,,탑부동산공인중개사사무소,서울특별시 종로구 새문안로3길 36 용비어천가 오피스텔 404호(내수동),조대식,02-736-8899,2004.05.24,3,,,공인중개사,유,-
19,92200000-2521,,하늘공인중개사사무소,"서울특별시 종로구 새문안로3길 36 311호(내수동, 용비어천가)",윤자익,02-733-4242,2011.10.11,3,,,공인중개사,유,-
20,11110-2018-00014,,한양부동산공인중개사사무소,서울특별시 종로구 사직로8길 24 경희궁의아침 상가동 108호 (내수동),양희성,02-735-8949,2018.02.01,3,,,공인중개사,유,-
21,92200000-1912,,행운공인중개사사무소,서울특별시 종로구 새문안로3길 23 경희궁의아침4단지 상가101호(내수동),구성회,725-3006,2007.06.14,3,,,공인중개사,유,-
